Chương,Trang PDF,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích đáp án
Chương 1,2,Điều mong muốn cuối cùng của Hồ Chí Minh ghi trong Di chúc là gì?,Xây dựng một nước Việt Nam phồn vinh và cường thịnh,"Xây dựng một nước Việt Nam hòa bình, thống nhất, độc lập, dân chủ, giàu mạnh.","Xây dựng một nước Việt Nam dân chủ, công bằng, văn minh",Làm cho mọi người được hạnh phúc,B,
Chương 1,2,Chọn cụm từ đúng: Tư tưởng Hồ Chí Minh là:,Hệ thống các luận điểm toàn diện và sâu sắc về những vấn đề cơ bản của cách mạng Việt Nam,Hệ thống các QUAN ĐIỂM toàn diện và sâu sắc về những vấn đề cơ bản của cách mạng Việt Nam,Hệ thống các tư tưởng toàn diện và sâu sắc về những vấn đề cơ bản của cách mạng Việt Nam,Hệ thống các học thuyết toàn diện và sâu sắc về những vấn đề cơ bản của cách mạng Việt Nam,B,
Chương 1,2,Vận dụng tư tưởng Hồ Chí Minh cần phải nắm vững nguyên tắc gì?,Quan điểm lịch sử thế giới,Quan điểm lịch sử Việt Nam,Quan điểm lịch sử CỤ THỂ,Quan điểm lịch sử toàn diện,C,
Chương 1,2,Ý nghĩa của việc học tập môn Tư tưởng Hồ Chí Minh,Góp phần nâng cao năng lực tư duy lý luận,"Giáo dục và định hướng thực hành đạo đức cách mạng, củng cố niềm tin khoa học gắn liền với trau dồi tình cảm cách mạng, bồi dưỡng lòng yêu nước","Xây dựng, rèn luyện phương pháp và phong cách công tác",Tất cả đều đúng,D,
Chương 1,3,Thống nhất giữa tính đảng và tính khoa học là:,Phương pháp nghiên cứu tư tưởng Hồ Chí Minh,Điều kiện bắt buộc trong nghiên cứu tư tưởng Hồ Chí Minh,Phương pháp luận của việc nghiên cứu tưởng Hồ Chí Minh,Điều kiện cần trong nghiên cứu tư tưởng Hồ Chí Minh,C,
Chương 1,3,"“Đường lối chính trị, nề nếp làm việc và đạo đức cách mạng của Đảng ta hiện nay là đường lối, tác phong và đạo đức Hồ Chủ tịch... Toàn Đảng hãy ra sức học tập đường lối chính trị, tác phong và đạo đức cách mạng của Hồ Chủ tịch; sự học tập ấy là điều kiện tiên quyết làm cho Đảng và làm cho cách mạng đi mau đến thắng lợi hoàn toàn”. Đoạn văn trên được trích trong:",Văn kiện Đại hội II của Đảng tháng 2 năm 1951,Văn kiện Đại hội III của Đảng tháng 9 năm 1960,Văn kiện Đại hội IV của Đảng tháng 12 năm 1976,Tất cả đều đúng,A,
Chương 1,3,"“Thắng lợi to lớn của sự nghiệp chống Mỹ cứu nước cũng như những trang sử chói lọi của cách mạng Việt Nam ngót nửa thế kỷ nay mãi mãi gắn liền với tên tuổi của chủ tịch Hồ Chí Minh, người sáng lập và rèn luyện Đảng ta, người khai sinh nền cộng hòa dân chủ Việt Nam, người vun trồng khối đại đoàn kết dân tộc và xây dựng lực lượng vũ trang cách mạng, vị lãnh tụ thiên tài của giai cấp công nhân và nhân dân ta, người anh hùng dân tộc vĩ đại, người chiến sĩ lỗi lạc của phong trào cộng sản và công nhân quốc tế”. Đoạn văn trên được trích trong:",Văn kiện Đại hội II của Đảng tháng 2 năm 1951,Văn kiện Đại hội III của Đảng tháng 9 năm 1960,Văn kiện Đại hội IV của Đảng tháng 12 năm 1976,Tất cả đều đúng,C,
Chương 1,3,"“Phải kiên định chủ nghĩa Mác – Lênin, tư tưởng Hồ Chí Minh, vận dụng sáng tạo và phát triển phù hợp với thực tiễn Việt Nam”. Đoạn trích trên trích trong:",Văn kiện Đại hội II của Đảng tháng 2 năm 1951,Văn kiện Đại hội III của Đảng tháng 9 năm 1960,Văn kiện Đại hội IV của Đảng tháng 12 năm 1976,Văn kiện Đại hội XII của Đảng tháng 01 năm 2016,D,
Chương 1,4,Chọn câu trả lời đúng nhất: “Thống nhất giữa lý luận và thực tiễn” là:,Nội dung và quan điểm phương pháp luận nghiên cứu tư tưởng Hồ Chí Minh,NGUYÊN TẮC VÀ QUAN ĐIỂM phương pháp luận nghiên cứu tư tưởng Hồ Chí Minh,Nguyên tắc và nội dung phương pháp luận nghiên cứu tư tưởng Hồ Chí Minh,Điều kiện và tiền đề phương pháp luận nghiên cứu tư tưởng Hồ Chí Minh,B,
Chương 1,4,Một trong những nguyên tắc phương pháp luận khi nghiên cứu tư tưởng Hồ Chí Minh là gì?,Kết hợp nghiên cứu các tác phẩm với thực tiễn chỉ đạo cách mạng của Hồ Chí Minh.,Kết hợp nghiên cứu các tác phẩm với thực tiễn cách mạng thế giới.,Kết hợp nghiên cứu các tác phẩm với thực tiễn cách mạng Việt Nam.,Kết hợp thực tiễn cách mạng Việt Nam và cách mạng thế giới.,A,
Chương 2,4,Một trong những nguyên tắc phương pháp luận khi nghiên cứu tư tưởng Hồ Chí Minh là:,Bảo đảm sự thống nhất nguyên tắc tính Đảng và tính khoa học,Bảo đảm sự thống nhất nguyên tắc tính Đảng và tính xã hội chủ nghĩa,Bảo đảm sự thống nhất nguyên tắc tính Đảng và tính dân tộc,Bảo đảm sự thống nhất nguyên tắc tính Đảng và tính cách mạng,A,
Chương 2,4,"Đối với Hồ Chí Minh, ưu điểm lớn nhất trong chủ nghĩa Tam dân của Tôn Trung Sơn là gì?",Chống phong kiến,"Đấu tranh vì tự do, dân chủ",Phù hợp với điều kiện thực tế nước ta,Tu dưỡng đạo đức cá nhân,C,
Chương 2,4,Nguồn gốc lý luận nào quyết định bản chất tư tưởng Hồ Chí Minh,Tư tưởng Tam dân của Tôn Trung Sơn,Tư tưởng của Khổng Tử,Chủ nghĩa Mác – Lênin,Tư tưởng của Giêsu (Jesus),C,
Chương 2,5,Tư tưởng Hồ Chí Minh được hình thành trong bối cảnh lịch sử nào?,Chủ nghĩa tư bản đang trong giai đoạn tự do cạnh tranh,Chủ nghĩa tư bản từ giai đoạn tự do cạnh tranh sang giai đoạn độc quyền,Chủ nghĩa tư bản đang trong giai đoạn hình thành,Chủ nghĩa xã hội đang trong giai đoạn phát triển,B,
Chương 2,5,Tư tưởng Hồ Chí Minh được hình thành và phát triển qua mấy giai đoạn?,3 giai đoạn,4 giai đoạn,5 giai đoạn,6 giai đoạn,C,
Chương 2,5,"Tháng 7 năm 1920, Hồ Chí Minh đọc tác phẩm gì của V.I.Lênin?",Làm gì,Sơ thảo lần thứ nhất Luận cương về các vấn đề dân tộc,Sơ thảo lần thứ nhất những Luận cương về các vấn đề dân tộc và vấn đề thuộc địa,Nhà nước và cách mạng.,C,
Chương 2,5,Một trong những giá trị của văn hoá phương Tây được Hồ Chí Minh tiếp thu góp phần hình thành tư tưởng của Người là:,Tư tưởng dân chủ và cách mạng trong cách mạng Pháp và cách mạng Mỹ,Những mặt tích cực của Nho Giáo,Tư tưởng vị tha của Phật giáo,Chủ nghĩa Tam dân của Tôn Trung Sơn,A,
Chương 2,5,"Một trong những tiền đề tư tưởng, lí luận dẫn đến sự hình thành tư tưởng Hồ Chí Minh là:",Giá trị truyền thống tốt đẹp của dân tộc Việt Nam,Giá trị văn hiến dân tộc Việt Nam,Giá trị tư tưởng dân tộc Việt Nam,Giá trị văn minh dân tộcViệt Nam,A,
Chương 2,5,Một trong những truyền thống tốt đẹp của tư tưởng và văn hoá Việt Nam được Hồ Chí Minh tiếp thu giúp hình thành tư tưởng của Người là:,Chủ nghĩa yêu nước Việt Nam.,Những mặt tích cực của Nho Giáo,Tư tưởng vị tha của Phật giáo,Tư tưởng bác ái của Thiên Chúa Giáo,A,
Chương 2,6,Mục đích chính Hồ Chí Minh muốn ra nước ngoài là:,"Xem nước Pháp và các nước khác làm như thế nào, sẽ trở về giúp đồng bào chúng","Xem nước Pháp và các nước khác học như thế nào, sẽ trở về giúp đồng bào chúng ta","Xem nước Pháp và các nước khác văn minh như thế nào, sẽ trở về giúp đồng bào chúng ta ta","Xem nước Pháp và các nước khác tiến bộ như thế nào, sẽ trở về giúp đồng bào chúng ta",C,
Chương 2,6,Nguyên nhân trực tiếp đẫn đến các phong trào yêu nước theo khuynh hướng dân chủ tư sản ở Việt Nam đầu thế kỷ XX thất bại là:,Giai cấp tư sản Việt Nam còn yếu,Giai cấp tư sản Việt Nam không có người lãnh đạo,Giai cấp tư sản Việt Nam không có đường lối đúng đắn,Giai cấp tư sản Việt Nam không có lực lượng.,C,
Chương 2,6,“Việt Nam vạn tuế” là khẩu hiệu trước khi bị hành hình của các chí sĩ yêu nước tham gia:,Phong trào Cần Vương,Khởi nghĩa Yên Bái,Phong trào Đông Kinh – Nghĩa Thục,"Khởi nghĩa của Nguyễn Thiện Thuật, Đinh Công Tráng",B,
Chương 2,6,Chí sĩ yêu nước Phan Bội Châu khởi xướng phong trào:,Duy tân,Đông du,Đông kinh nghĩa thục,"Chống đi phu, chống thu thuế",B,
Chương 2,6,"Chọn câu trả lời đúng nhất: Dưới ách thống trị, áp bức của thực dân Pháp, xã hội Việt Nam đã xuất hiện các giai cấp mới:","Nông dân, công nhân và địa chủ","Công nhân, tiểu tư sản, tiểu tư sản dân tộc","Công nhân, nông dân và trí thức","tiểu tư sản, tư sản và trí thức",B,
Chương 2,7,Giá trị nào được xem là giá trị xuyên suốt nổi bật nhất trong truyền thống dân tộc Việt Nam? Chọn câu trả lời đúng nhất.,Tinh thần thương người như thể thương thân,Tinh thần lá lành đùm lá rách,Chủ nghĩa yêu nước,Tinh thần chống giặc ngoại xâm.,C,
Chương 2,7,"“Nước Việt Nam có quyền hưởng tự do và độc lập và sự thật đã thành một nước tự do, độc lập. Toàn thể dân tộc Việt Nam quyết đem tất cả tinh thần và lực lượng, tính mạng và của cải để giữ vững quyền tự do, độc lập ấy”. Đoạn văn trên được trích trong:",Tuyên ngôn Độc lập,Lời kêu gọi toàn quốc kháng chiến,Sửa đổi lối làm việc,Đường kách mệnh,A,
Chương 2,7,"Trong khi kế thừa và tiếp thu học thuyết của Nho giáo về quản lý xã hội, Hồ Chí Minh đã kế thừa và đổi mới tư tưởng:",Đức trị và nhân trị,Pháp trị,Đức trị và pháp trị,Đức trị.,A,
Chương 2,7,Chọn ý sai. điều kiện và cơ sở hình thành tư tưởng Hồ Chí Minh?,"Nhu cầu khách quan và bức thiết do cách mạng Việt Nam đặt ra là muốn cứu nước, phải tìm một con đường cách mạng mới.","Quê hương Hồ Chí Minh là mảnh đất giàu truyền thống yêu nước, chống giặc ngoại xâm.","Hồ Chí Minh sinh ra trong một gia đình nhà Nho yêu nước, gần gũi nhân dân, cụ thân sinh có tư tưởng thương dân, chủ trương lấy dân làm hậu thuẫn cho mọi cải cách chính trị.","Ngay từ khi còn nhỏ ở trong trường, Hồ Chí Minh đã nhận thức được đặc điểm thời đại.",,
Chương 2,7,"Đối với Hồ Chí Minh, ưu điểm lớn nhất của học thuyết Khổng Tử là gì?",Tinh thần hiếu học.,Quản lý xã hội bằng đạo đức.,Sự tu dưỡng đạo đức cá nhân.,Quản lý xã hội bằng pháp luật,C,
Chương 2,8,"Nguyễn Ái Quốc gửi “Bản yêu sách của nhân dân An Nam” tới Hội nghị Vécxây, đòi chính phủ Pháp thừa nhận các quyền tự do, dân chủ và bình đẳng của nhân dân Việt Nam vào thời gian nào?",6/1917,6/1918,6/1919,6/1920,C,
Chương 2,8,Nhân tố chủ quan hình thành tư tưởng Hồ Chí Minh bao gồm:,Phẩm chất cá nhân cùng năng lực hoạt động thực tiễn phong phú,Phẩm chất cá nhân của người,Năng lực hoạt động thực tiễn của người.,Khả năng tư duy của người,A,
Chương 2,8,"Hồ Chí Minh xác định, cách mạng Việt Nam phải trải qua những thời kì nào?",Cách mạng tư sản và cách mạng vô sản,Cách mạng giải phóng dân tộc và cách mạng xã hội chủ nghĩa,Cách mạng ruộng đất và cách mạng tư sản,Cách mạng phong kiến và cách mạng vô sản,B,
Chương 2,8,"Trong tư tưởng Hồ Chí Minh về giải phóng dân tộc, giải phóng giai cấp, giải phóng con người. Hồ Chí Minh đặt lên hàng đầu nhiệm vụ gì?",Giải phóng dân tộc.,Giải phóng con người.,Giải phóng giai cấp.,"Cả, a, b và c đều đúng.",A,
Chương 2,8,"Theo Hồ Chí Minh, lực lượng giải phóng dân tộc bao gồm:",Nông dân,,Công nhân,,,
Chương 2,8,"Giải phóng dân tộc theo tư tưởng Hồ Chí Minh, xét về thực chất là: a - Đánh đổ ách áp bức, thống trị của đế quốc, thực dân giành độc lập dân tộc b - Giành độc lập dân tộc, hình thành nhà nước dân tộc độc lập c - Đánh đổ ách áp bức, thống trị của đế quốc, thực dân giành độc lập dân tộc, hình thành nhà nước dân tộc độc lập và tự do lựa chọn con đường phát triển của dân tộc phù hợp với xu thế phát triển của thời đại d - Tất cả đều đúng",,,,,,
Chương 2,8,Hồ Chí Minh dùng hình tượng gì để chỉ chủ nghĩa tư bản?,Con bạch tuộc,Con chim đại bàng,Con đỉa hai vòi,Hai cánh của con chim,C,
Chương 2,8,Chọn phương án trả lời đúng với tư tưởng Hồ Chí Minh:,Cách mạng giải phóng dân tộc giành thắng lợi đồng thời với thắng lợi cách mạng vô sản ở chính quốc.,Thắng lợi của cách mạng vô sản ở thuộc địa phải phụ thuộc vào thắng lợi của cách mạng vô sản ở chính quốc.,Cách mạng giải phóng dân tộc ở thuộc địa có khả năng nổ ra và giành được thắng lợi trước cách mạng vô sản ở chính quốc.,"Cả a, b và c đều sai",C,
Chương 2,9,"Theo Hồ Chí Minh, vấn đề dân tộc và vấn đề giai cấp có mối quan hệ với nhau như thế nào?",Giải phóng dân tộc và giải phóng giai cấp cần được tiến hành song song,Giải phóng dân tộc không liên quan đến giải phóng giai cấp,Giải phóng dân tộc là tiền đề để giải phóng giai cấp,Giải phóng giai cấp là tiền đề để giải phóng dân tộc,C,
Chương 2,9,"Bản chất của chủ nghĩa tư bản ""là một con đỉa có 1 cái vòi bám vào giai cấp vô sản ở chính quốc và 1 cái vòi khác bám vào giai cấp vô sản ở thuộc địa. Nếu muốn giết con vật ấy, người ta phải đồng thời cắt cả hai vòi. Nếu người ta chỉ cắt một vòi thôi thì cái vòi còn lại kia vẫn tiếp tục hút máu của giai cấp vô sản, con vật vẫn tiếp tục sống và cái vòi bị cắt đứt lại sẽ mọc ra"" câu nói đó trích từ tác phẩm nào của Nguyễn Ái Quốc?",Con rồng tre,,Đường cách mệnh,V. I. Lênin và các dân tộc phương Đông,,
Chương 2,9,Vấn đề dân tộc trong tư tưởng Hồ Chí Minh là sự kết hợp nhuần,,Bản án chế độ thực dân Pháp nhuyễn: a - Dân tộc với giai cấp c - Chủ nghĩa yêu nước với chủ nghĩa đế quốc,,,B,
Chương 2,9,Vấn đề dân tộc trong tư tưởng Hồ Chí Minh là vấn đề:,Dân tộc nói chung,Dân tộc Phương Đông,Dân tộc thuộc địa,Hình thành dân tộc,C,
Chương 2,9,"Thực chất của vấn đề dân tộc thuộc địa trong tư tưởng Hồ Chí Minh b - Độc lập dân tộc và chủ nghĩa xã hội d - Cả a, b, c đều đúng là:",Đòi quyền bình đẳng giữa các dân tộc,Đòi quyền tư do dân chủ cho nhân dân,Đòi quyền tự trị dân tộc dưới sự bảo hộ của ngoại bang,"Đấu tranh giải phóng dân tôc, thành lập nhà nước dân tộc độc lập, trong đó nhân dân là chủ thể tối cao của quyền lực nhà nước",D,
Chương 2,9,"Trong tư tưởng Hồ Chí Minh, nhiệm vụ hàng đầu, trên hết, trước hết của cách mạng Việt Nam là: a - Giải phóng dân tộc b - Giải phóng giai cấp c - Giải phóng con người d – Giải phóng giai cấp và giải phóng dân tộc",,,,,,
Chương 2,9,"Các lực lượng thực hiện giải phóng dân tộc, giải phóng giai cấp, giải phóng con người theo tư tưởng Hồ Chí Minh là: a - Đảng Cộng sản b - Khối đại đoàn kết dân tộc, đoàn kết toàn dân mà nòng cốt là lien minh công – nông – tri thức c - Các lực lượng cách mạng d – Tất cả các phương án đều đúng",,,,,,
Chương 2,9,"“Tất cả các dân tộc trên thế giới đều sinh ra bình đẳng, dân tộc nào cũng có quyền sống, quyền sung sướng và quyền tự do”. Hồ Chí Minh nói câu đó trong văn kiện nào?",Tuyên ngôn độc lập (1945),,Bản án chế độ thực dân Pháp,,A,
Chương 2,10,"Theo Hồ Chí Minh, cách mạng là sự nghiệp của ai?",Đảng,Nhà nước,Nhân dân,,C,
Chương 2,10,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc là sự nghiệp đoàn",Giai cấp công nhân,Đường Cách mệnh,Giai cấp công nhân và nông dân,Công nhân và nông dân kết của:,D,
Chương 2,10,Sức mạnh dân tộc Việt Nam bao gồm những yếu tố chủ yếu nào?,Chủ nghĩa yêu nước,Tinh thần đoàn kết,Ý thức tự lực tự cường,"Cả a, b và c đều đúng",D,
Chương 2,10,"Trước khi Đảng Cộng sản Việt Nam ra đời, tình cảnh cách mạng Việt",Khủng hoảng về đường lối cứu nước,"Công nhân, nông dân, trí thức",Mọi phong trào cách mạng đều thắng lợi,"Toàn dân, trên cơ sở liên minh công - nông Nam như thế nào?",A,
Chương 2,10,Phong trào Đông Du (1906 -1908) do ai lãnh đạo?,Hồ Chí Minh,Phan Chu Trinh,Phan Bội Châu,Nguyễn Thái Học,B,
Chương 2,10,Luận điểm nào sau đây là sai? Sức mạnh dân tộc trong tư tưởng Hồ Chí Minh Việt Nam bao gồm:,Chủ nghĩa yêu nước Việt Nam,,"Tinh thần đoàn kết, ý thức tự lực tự cừơng",,,
Chương 2,10,"Theo tư tưởng Hồ Chí Minh, các loại kẻ thù cần phải đánh đổ trong quá trình giải phóng dân tọc, giải phóng giai cấp, giải phóng con người là:","Nghèo nàn, giốt nát, lạc hậu và chủ nghĩa cá nhân dưới mọi hình thức","Đế quốc, thực dân và tay sai của chúng",Đế quốc và phong kiến,"Đế quốc, thực dân và tay sai của chúng cùng với nghèo nàn, giốt nát, lạc hậu và chủ nghĩa cá nhân dưới mọi hình thức",D,
Chương 2,10,Nội dung cơ bản trong con đường cứu nước của Hồ Chí Minh là:,Độc lập dân tộc gắn liến với chủ nghĩa xã hội,Giành chính quyền về tay nhân dân,Giải phóng con người,Thành lập Đảng Cộng sản Việt Nam,A,
Chương 2,10,"Trong Lời kêu gọi toàn quốc kháng chiến, Hồ Chí Minh xác định: “Chúng ta thà hy sinh tất cả, chứ nhất định […..........], nhất định không chịu làm nô lệ”.",Không chịu đầu hàng,,Không chịu mất nước,,C,
Chương 2,10,Một trong những nội dung cơ bản của Bản Yêu sách gồm tám điểm,Đòi quyền tự trị của dân tộc,Đòi quyền giải phóng dân tộc,Đòi quyền độc lập dân tộc,"Đòi quyền tự do, dân chủ tối thiểu cho nhân dân",D,
Chương 2,10,"Hồ Chí Minh nói: “Tôi chỉ có một sự ham muốn, ham muốn tột bậc, là làm sao cho nước ta được hoàn toàn độc lập, dân ta hoàn toàn được tự do, đồng bào ai cũng có cơm ăn, áo mặc, ai cũng được học hành” vào ngày tháng năm nào?",21/1/1946,,,,A,
Chương 2,11,Một trong những nội dung cơ bản của Bản Yêu sách gồm tám điểm,Đòi quyền tự trị của dân tộc,Đòi quyền giải phóng dân tộc,Đòi quyền độc lập dân tộc,Đòi quyền bình đẳng pháp lý cho nhân dân,D,
Chương 2,11,"Khi nghiên cứu về Cách mạng tư sản Mỹ (1776) và cách mạng tư sản Pháp (1789), Hồ Chí Minh xác định đó là những cuộc cách mạng như thế nào?",Chưa trọn vẹn,Không thành công,Thắng lợi,,,
Chương 2,11,"""Dù phải đốt cháy cả dãy Trừờng Sơn cũng phải giành cho được độc",Tháng 5-1941,Tháng 9-1945,Tháng 8-1945,Tháng 12-1946,D,
Chương 2,11,"Đại hội nào của Đảng khẳng định: “Đảng lấy chủ nghĩa Mác – Lênin, tư tưởng Hồ Chí Minh làm nền tảng tư tưởng và kim chỉ nam cho hành động ”?",Đại hội VII (1991),Đại hội VIII (1996),Đại hội IX (2001),Đại hội X (2006),B,
Chương 2,11,"Chủ tịch Hồ Chí Minh ra Lời kêu gọi toàn quốc kháng chiến “Thà hy sinh tất cả chứ nhất định không chịu mất nước, không chịu làm nô lệ” vào thời điểm nào?",Đêm ngày 18/9/1946,,Đêm ngày 19/12/1946,,C,
Chương 2,11,Hồ Chí Minh là người đấu trạnh đòi quyền độc lập cho:,Cả thế giới,Dân tộc Việt Nam và tất cả các dân tộc bị áp bức trên thế giới,Dân tộc Việt Nam,Ngày 25/11/1946,B,
Chương 2,11,Hồ Chí Minh khẳng định chủ nghĩa dân tộc là một động lực lớn ở các,Chân chính,,Sô vanh nước lớn,Các dân tộc thuộc địa ở phương Đông nước đang đấu tranh giành độc lập dân tộc. Đó là chủ nghĩa dân tộc:,A,
Chương 2,11,Chủ tịch Hồ Chí Minh ra lời kêu gọi toàn quốc kháng chiến vào thời,Đêm ngày 18/9/1946,Trong sáng,Ngày 20/12/1946,Hẹp hòi điểm nào?,D,
Chương 2,11,Hồ Chí Minh bàn về vấn đề dân tộc:,Phong kiến,,Tư sản,,,
Chương 2,11,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc muốn thắng lợi",Có tiềm lực mạnh,Độc lập,Có một cá nhân xuất sắc lãnh đạo,Thuộc địa . phải:,D,
Chương 2,11,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc muốn giành được",Tiến hành chủ động và sáng tạo,Dựa vào sự thắng lợi của cách mạng vô sản ở chính quốc,Dựa vào sự thắng lợi của cách mạng ở các nước thuộc địa khác,Dựa vào sự giúp đỡ của các nước xã hội chủ nghĩa,A,
Chương 2,12,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc muốn giành được thắng lợi cần phải:",Thực hiện bằng con đường bạo lực,"Thực hiện bằng con đường bạo lực, kết hợp lực lượng chính trị của quần chúng với lực lượng vũ trang nhân dân",Kết hợp lực lượng chính trị của quần chúng với lực lượng vũ trang nhân dân,Dựa vào sự thắng lợi của cách mạng vô sản ở chính quốc,B,
Chương 2,12,Luận điểm ”Công cuộc giải phóng anh em chỉ có thể thực hiện bằng sự nổ lực của bản thân anh em” là của ai?,Các Mác,,Lênin,,,
Chương 2,12,"Luận điểm ""Chủ nghĩa tư bản là một con đĩa có một cái vòi bám vào",Bản Án Chế độ thực dân Pháp,Ănghen,Đường Cách mệnh,"Hồ Chí Minh giai cấp vô sản ở chính quốc và một cái vòi bám vào giai cấp vô sản ở các thuộc địa. Nếu muốn giết con vật ấy, người ta phải đồng thời cắt cả hai vòi” của Hồ Chí Minh được trích từ tác phẩm nào?",A,
Chương 2,12,Luận điểm ”Chủ nghĩa dân tộc là một động lực lớn của đất nước” của,"Báo cáo Bắc kỳ, Trung Kỳ và Nam Kỳ",Báo Người Cùng khổ,Đường Cách mệnh,Tuyên ngôn độc lập Hồ Chí Minh được trích từ tác phẩm nào?,A,
Chương 2,12,"“Công nông là gốc của cách mệnh, còn học trò, nhà buôn nhỏ, điền chủ nhỏ là bầu bạn cách mệnh của công nông” được Nguyễn Ái Quốc đề cập đến điều gì?",Phương pháp cách mạng,Báo Người Cùng khổ,Nhiệm vụ của cách mạng,Mục tiêu của cách mạng,,
Chương 2,12,Cuốn “Đường Cách mệnh” tập hợp các bài giảng của Nguyễn Ái Quốc,Pháp,Liên-xô,Việt Nam,Trung Quốc,D,
Chương 2,12,"Theo Hồ Chí Minh độc lập, tự do là:",Quyền thiêng liêng của tất cả các dân tộc,Quyền bất khả xâm phạm của tất cả các dân tộc,Quyền tự quyết dân tộc,Quyền thiêng liêng và bất khả xâm phạm của tất cả các dân tộc,D,
Chương 2,12,"Theo Hồ Chí Minh độc lập, tự do quyền thiêng liêng và bất khả xâm phạm của tất cả các dân tộc vào thời gian nào?",Trong Cách mạng thánh Tám năm 1945,Trong kháng chiến chống Mỹ,Trong Kháng chiến chống Pháp,,,
Chương 2,12,"Theo Hồ Chí Minh, vận dụng chủ nghĩa Mác – Lênin cần phải:","Phù hợp với từng hoàn cảnh, từng đối tượng",Trung thành tuyệt đối với chủ nghĩa Mác – Lênin,Đảm bảo tính chính xác,"Cả a, b và c đều đúng",D,
