Chương,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
Chương 1,"“Thắng lợi to lớn của sự nghiệp chống Mỹ cứu nước cũng như những trang sử chói lọi của cách mạng Việt Nam ngót nửa thế kỷ nay mãi mãi gắn liền với tên tuổi của chủ tịch Hồ Chí Minh, người sáng lập và rèn luyện Đảng ta, ngườ i khai sinh nền cộng hòa dân chủ Việt Nam, người vun trồng khối đại đoàn kết dân tộc và xây dựng lực lượng vũ trang cách mạng, vị lãnh tụ thiên tài của giai cấp công nhân và nhân dân ta, người anh hùng dân tộc vĩ đại, người chiến sĩ lỗi lạc của phong trào cộng sản và công nhân quốc tế”. Đoạn văn trên được trích trong:",Văn kiện Đại hội II của Đảng tháng 2 năm 1951,Văn kiện Đại hội III của Đảng tháng 9 năm 1960,Văn kiện Đại hội IV của Đảng tháng 12 năm 1976,Tất cả đều đúng,
Chương 1,"“Phải kiên định chủ nghĩa Mác – Lênin, tư tưởng Hồ Chí Minh, vận dụng sáng tạo và phát triển phù hợp với thực tiễn Việt Nam”. Đoạn t rích trên trích trong:",Văn kiện Đại hội II của Đảng tháng 2 năm 1951,Văn kiện Đại hội III của Đảng tháng 9 năm 1960,Văn kiện Đại hội IV của Đảng tháng 12 năm 1976,Văn kiện Đại hội XII của Đảng tháng 01 năm 2016,
Chương 1,Chọn câu trả lời đúng n hất: “Thống nhất giữa lý luận và thực tiễn” là:,Nội dung và quan điểm phương pháp luận nghiên cứu tư tưở ng Hồ Chí Minh,NGUYÊN TẮC VÀ QUAN ĐIỂM phương pháp luận nghiên cứu tư tưởng Hồ Chí Minh,Nguyên tắc và nội dung phương pháp luận nghiên cứu tư tưởng Hồ Chí Minh,Điều kiện và tiền đề phương pháp luận nghiên cứu tư tưở ng Hồ Chí Minh,
Chương 1,Một trong những nguyên tắc phương pháp luận khi nghiên cứu tư tưởng Hồ Chí Minh là gì?,Kết hợp nghiê n cứu các tác phẩm với thực tiễn chỉ đạo cách mạng của Hồ Chí Minh.,Kết hợp nghiên cứu các tác phẩm với thực tiễn cách m ạng thế giới.,Kết hợp nghiên cứu các tác phẩm với thực tiễn cách m ạng Việt Nam.,Kết hợp thực tiễn cách mạng Việt Nam và cách mạng thế giớ i.,
Chương 2,Một trong những nguyên tắc phương p háp luận khi nghiên cứu tư tưởng Hồ Chí Minh là:,Bảo đảm sự thống nhất nguyên tắc tính Đảng và tính k hoa học,Bảo đảm sự thống nhất nguyên tắc tính Đảng và tính xã hội chủ nghĩa,Bảo đảm sự thống nhất nguyên tắc tính Đảng và tính dân tộc,Bảo đảm sự thống nhất nguyên tắc tính Đảng và tính các h mạng,
Chương 2,"Đối với Hồ Chí Minh, ưu điểm lớn nhất trong chủ nghĩa Tam dân của Tôn Trung Sơn là gì?",Chống phong kiến,"Đấu tranh vì tự do, dân chủ",Phù hợp với điều kiện thực tế nước ta,Tu dưỡng đạo đức cá nhân,
Chương 2,Nguồn gốc lý luận nào quyết địn h bản chất tư tưởng Hồ Chí Minh,Tư tưởng Tam dân của Tôn Trung Sơn,Tư tưởng của Khổng Tử,Chủ nghĩa Mác – Lênin,Tư tưởng của Giêsu (Jesus),
Chương 2,Tư tưởng Hồ Chí Minh được hình thành trong bối cảnh lịch sử nào?,Chủ nghĩa tư bản đang trong giai đoạn tự do cạnh tranh,Chủ nghĩa tư bản từ giai đoạn tự do cạnh tranh s ang giai đoạn độc quyền,Chủ nghĩa tư bản đang trong giai đoạn hình thành,Chủ nghĩa xã hội đang trong giai đoạn phát triển,
Chương 2,Tư tưởng Hồ Chí Minh được hình thành và phát triển qua mấy giai đoạn?,3 giai đoạn,4 giai đoạn,5 giai đoạn,6 giai đoạn,
Chương 2,"Tháng 7 năm 1920, Hồ Chí Minh đọc tác phẩ m gì của V.I.Lênin?",Làm gì,Sơ thảo lần thứ nhất Luận cương về các vấn đề dân tộc,Sơ thảo lần thứ nhất những Luận cươ ng về các vấn đề dân tộc và vấn đề thuộc địa,Nhà nước và cách mạng.,
Chương 2,Một trong những giá trị của văn hoá phương Tây được Hồ Chí Minh tiếp thu góp phần hình th ành tư tưởng của Người là:,Tư tưởng dân chủ và cách mạng trong cách mạng Pháp và cách mạng Mỹ,Những mặt tích cực của Nho Giáo,Tư tưởng vị tha của Phật giáo,Chủ nghĩa Tam dân của Tôn Trung Sơn,
Chương 2,"Một trong những tiền đề tư tư ởng, lí luận dẫn đến sự hình thành tư tưởng Hồ Chí Minh là:",Giá trị truyền thống tốt đẹp của dân tộc Việt Nam,Giá trị văn hiến dân tộc Việt Nam,Giá trị tư tưởng dân tộc Việt Nam,Giá trị văn minh dân tộcViệt Nam,
Chương 2,Một trong những truyền thống tốt đẹp của tư tưởng và văn hoá Việt Nam được Hồ Chí Minh tiếp thu giúp h ình thành tư tưởng của Người là:,Chủ nghĩa yêu nước Việt Nam.,Những mặt tích cực của Nho Giáo,Tư tưởng vị tha của Phật giáo,Tư tưởng bác ái của Thiên Chúa Giáo,
Chương 2,Mục đích chính Hồ Chí Mi nh muốn ra nước ngoài là:,"Xem nước Pháp và các nước khác làm như thế nào, sẽ trở về giúp đồng bào chúng ta","Xem nước Pháp và các nước khác học như thế nào, sẽ trở về giúp đồng bào c húng ta","Xem nước Pháp và các nước khác văn minh như thế nào, sẽ trở về giúp đồng bào chúng ta","Xem nước Pháp và các nước khác tiến bộ như thế nào, sẽ trở về gi úp đồng bào chúng ta",
Chương 2,Nguyên nhân trực tiếp đẫn đến các phong trào yêu nước theo khuynh hướng dân chủ tư s ản ở Việt Nam đầu thế kỷ XX thất bại là:,Giai cấp tư sản Việt Nam còn yếu,Giai cấp tư sản Việt Nam không có người lãnh đạo,Giai cấp tư sản Việt Nam không có đường lối đúng đắn,Giai cấp tư sản Việt Nam không có lực lượ ng.,
Chương 2,“Việt Nam vạn tuế” là khẩu hiệu trước khi bị hành hình của các chí sĩ yêu nước tham gia:,Phong trào Cần Vương,Khởi nghĩa Yên Bái,Phong trào Đông Kinh – Nghĩa Thục,"Khởi nghĩa của Nguyễn Thiện Thuật, Đinh Công Tráng",
Chương 2,Chí sĩ yêu nước Phan Bội Châu kh ởi xướng phong trào:,Duy tân,Đông du,Đông kinh nghĩa thục,"Chống đi phu, chống thu thuế",
Chương 2,"Chọn câu trả lời đúng nhất: Dưới ách thống trị, áp bức của thực dân Pháp, xã hội Việt Nam đã xuất hiện các giai cấp mới:","Nông dân, công nhân và địa chủ","Công nhân, tiểu tư sản, tiểu tư sản dân tộc","Công nhân, nông dân và trí thức","tiểu tư sản, tư sản và trí thức",
Chương 2,Giá trị nào được xem là giá trị xuyên suốt nổi bật nhất trong truyền thống dân tộc Việt Na m? Chọn câu trả lời đúng nhất.,Tinh thần thương người như thể thương thân,Tinh thần lá lành đùm lá rách,Chủ nghĩa yêu nước,Tinh thần chống giặc ngoại xâm.,
Chương 2,"“Nước Việt Nam có quyền hưởng tự do và độc lập và sự thật đã thành một nước tự do, độc lập. Toàn thể dân tộc Việt Nam quyết đem tất cả tinh thần và lực lượng, tính mạng và của cải để giữ vững quyền tự do, độc lập ấy”. Đoạn văn trên được trích trong:",Tuyên ngôn Độc lập,Lời kêu gọi toàn quốc kháng chiến,Sửa đổi lối làm việc,Đường kách mệnh,
Chương 2,"Trong khi kế thừa và tiếp thu học thuyết của Nho giáo về quản lý xã hội, Hồ Chí Minh đã kế thừa và đổi mới tư t ưởng:",Đức trị và nhân trị,Pháp trị,Đức trị và pháp trị,Đức trị.,
Chương 2,Chọn ý sai. điều kiện và cơ sở h ình thành tư tưởng Hồ Chí Minh?,"Nhu cầu khách quan và bức thiết do cách mạng Việt Nam đặt ra là muốn cứu nước, phải tìm một con đường cách mạng mới .","Quê hương Hồ Chí Minh là mảnh đất giàu truyền thống yêu nước, chống giặc ngoạ i xâm.","Hồ Chí Minh sinh ra trong một gia đình nhà Nho yêu nước, gần gũi nhân dân, cụ thân sinh có tư tưởng thương dân, chủ trươ ng lấy dân làm hậu thuẫn cho mọi cải cách chính trị.","Ngay từ khi còn nhỏ ở trong trường, Hồ Chí Minh đã nhận thức được đặc điểm thời đại.",
Chương 2,"Đối với Hồ Chí Minh, ưu điểm lớn nhất của học thuyết Khổng Tử là gì?",Tinh thần hiếu học.,Quản lý xã hội bằng đạo đức.,Sự tu dưỡng đạo đức cá nhân.,Quản lý xã hội bằng pháp luật,
Chương 2,"Nguyễn Ái Quốc gửi “Bản yêu sách của nhân dân An Nam” tới Hội nghị Vécxây, đòi chính phủ Pháp thừa nhận các quyền tự do, dân chủ và bình đẳng của nhân dân Việt Na m vào thời gian nào?",6/1917,6/1918,6/1919,6/1920,
Chương 2,Nhân tố chủ quan hìn h thành tư tưởng Hồ Chí Minh bao gồm:,Phẩm chất cá nhân cùng năng lực hoạt động thực tiễn phong p hú,Phẩm chất cá nhân của người,Năng lực hoạt động thực tiễn của người.,Khả năng tư duy của người,
Chương 2,"Hồ Chí Minh xác định, cách mạng Việt Nam phả i trải qua những thời kì nào?",Cách mạng tư sản và cách mạng vô sản,Cách mạng giải phóng dân tộc và cách mạng xã hội chủ nghĩa,Cách mạng ruộng đất và cách mạng tư sản,Cách mạng phong kiến và cách mạng vô sản,
Chương 2,"Trong tư tưởng Hồ Chí Minh về giải phóng dâ n tộc, giải phóng giai cấp, giải phóng con người. Hồ Chí Minh đặ t lên hàng đầu nhiệm vụ gì?",Giải phóng dân tộc.,Giải phóng con người.,Giải phóng giai cấp.,"Cả, a, b và c đều đúng.",
Chương 2,"Theo Hồ Chí Minh, lực lượng giải phóng dân tộc bao gồm:",Nông dân,"Công nhân, nông dân, trí thức",Công nhân,Toàn dân tộc,
Chương 2,"Giải phóng dân tộc theo tư tưởng Hồ Chí Minh, xé t về thực chất là: a - Đánh đổ ách áp bức, thống trị của đế quốc, thực dân giành độc lập dân tộc b - Giành độc lập dân tộc, hình thành nhà nước dân tộc độc lập c - Đánh đổ ách áp bức, thống trị của đế quốc, thực dân giành độc lập dân tộc, hì nh thành nhà nước dân tộc độc lập và tự do lựa chọn con đ ường phát triển của dân tộc phù hợp với xu thế phát triển của thời đại d - Tất cả đều đúng",,,,,
Chương 2,Hồ Chí Minh dùng hình tượng gì để chỉ chủ nghĩa tư bản?,Con bạch tuộc,Con chim đại bàng,Con đỉa hai vòi,Hai cánh của con chim,
Chương 2,Chọn phương án trả lời đúng v ới tư tưởng Hồ Chí Minh:,Cách mạng giải phóng dân tộc giành thắng lợi đồng thời với thắng lợi các h mạng vô sản ở chính quốc.,Thắng lợi của cách mạng vô sản ở thuộc địa phải phụ thuộc vào thắng lợi của c ách mạng vô sản ở chính quốc.,Cách mạng giải phóng dân tộc ở thuộc địa có khả năng nổ ra và giành được thắ ng lợi trước cách mạng vô sản ở chính quốc.,"Cả a, b và c đều sai",
Chương 2,"Theo Hồ Chí Minh, vấn đề dân tộc và vấn đề giai cấp có mối quan hệ với nhau như thế nào?",Giải phóng dân tộc và giải phóng giai cấp cần được tiến hành song song,Giải phóng dân tộc không liên quan đến giải phóng giai cấp,Giải phóng dân tộc là tiền đề để giải phóng giai cấp,Giải phóng giai cấp là tiền đề để giải phóng dân tộc,
Chương 2,"Bản chất của chủ nghĩa tư bản ""là một con đỉa có 1 cái vòi bám vào giai cấp vô sản ở chính quốc và 1 cái vòi khác bá m vào giai cấp vô sản ở thuộc địa. Nếu muốn giết con vậ t ấy, người ta phải đồng thời cắt cả hai vòi. Nếu người ta chỉ cắt một vòi th ôi thì cái vòi còn lại kia vẫn tiếp tục hút máu của giai cấp vô s ản, con vật vẫn tiếp tục sống và cái vòi bị cắt đứt lại sẽ mọc ra"" câu nói đó trích từ tác phẩm nào của Nguyễn Ái Quốc?",Con rồng tre,Bản án chế độ thực dân Pháp,Đường cách mệnh,V. I. Lênin và các dân tộc phương Đông,
Chương 2,"Vấn đề dân tộc trong tư tưởng Hồ Chí Minh là sự kết hợp nhuần nhuyễn: a - Dân tộc với giai cấp b - Độc lập dân tộc và chủ nghĩa xã hội c - Chủ nghĩa yêu nước với chủ nghĩa đế quốc d - Cả a, b, c đều đúng",,,,,
Chương 2,Vấn đề dân tộc trong tư tưởng Hồ Chí Minh là vấ n đề:,Dân tộc nói chung,Dân tộc Phương Đông,Dân tộc thuộc địa,Hình thành dân tộc,
Chương 2,Thực chất của vấn đề dân tộc thuộc địa trong tư tư ởng Hồ Chí Minh là:,Đòi quyền bình đẳng giữa các dân tộc,Đòi quyền tư do dân chủ cho nhân dân,Đòi quyền tự trị dân tộc dưới sự bảo hộ của ngoại bang,"Đấu tranh giải phóng dân tôc, thành lập nhà nước dâ n tộc độc lập, trong đó nhân dân là chủ thể tối cao của quyền lực nhà nướ c",
Chương 2,"Trong tư tưởng Hồ Chí Minh, nhiệm vụ hàng đầu, trên hết, trước hết của cách mạng Việt Nam là: a - Giải phóng dân tộc b - Giải phóng gi ai cấp c - Giải phóng con người d – Giải phóng giai cấp và giải phóng dân tộc",,,,,
Chương 2,"Các lực lượng thực hiện giải phóng dân tộc, giải phóng giai cấp, giải phóng con người theo tư tưởng Hồ C hí Minh là: a - Đảng Cộng sản b - Khối đại đoàn kết dân tộc, đoàn kết toàn dân mà nòng cốt là lien minh công – nông – tri thức c - Các lực lượng cách mạng d – Tất cả các phương án đều đúng",,,,,
Chương 2,"“Tất cả các dân tộc trên thế giới đều sinh ra bình đẳng, dân tộc nào cũng có quyền sống, quyền sung sướng và quyề n tự do”. Hồ Chí Minh nói câu đó trong văn kiện nào?",Tuyên ngôn độc lập (1945),Đường Cách mệnh,Bản án chế độ thực dân Pháp,Lời kêu gọi toàn quốc kháng chiến.,
Chương 2,"Theo Hồ Chí Minh, cách mạng là sự nghiệp của ai?",Đảng,Nhà nước,Nhân dân,Công nhân và nông dân,
Chương 2,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc là sự nghiệp đoàn kết của:",Giai cấp công nhân,"Công nhân, nông dân, trí thức",Giai cấp công nhân và nông dân,"Toàn dân, trên cơ sở liên minh công - nông",
Chương 2,Sức mạnh dân tộc Việt Nam bao gồm những yếu tố chủ yếu nào?,Chủ nghĩa yêu nước,Tinh thần đoàn kết,Ý thức tự lực tự cường,"Cả a, b và c đều đúng",
Chương 2,"Trước khi Đảng Cộng sản Việt Nam ra đời, tình cảnh cách mạng Việt Nam như thế nào?",Khủng hoảng về đường lối cứu nước,Cách mạng Việt Nam vô cùng thuận lợi,Mọi phong trào cách mạng đều thắng lợi,"Cả a, b và c đều sai",
Chương 2,Phong trào Đông Du (1906 -1908) do ai lãnh đ ạo?,Hồ Chí Minh,Phan Chu Trinh,Phan Bội Châu,Nguyễn Thái Học,
Chương 2,Luận điểm nào sau đây là sai? Sức mạnh dân tộc trong tư tưởng Hồ Chí Minh Việt Nam bao gồm:,Chủ nghĩa yêu nước Việt Nam,Văn hóa truyền thống Việt Nam,"Tinh thần đoàn kết, ý thức tự lực tự cừơng",Tài nguyên thiên nhiên,
Chương 2,"Theo tư tưởng Hồ Chí Minh, các loại kẻ thù cần phải đánh đổ trong quá trình giải phóng dân tọc, giải phóng giai c ấp, giải phóng con người là:","Nghèo nàn, giốt nát, lạc hậu và chủ nghĩa cá nhân dưới mọi hình thức","Đế quốc, thực dân và tay sai của chúng",Đế quốc và phong kiến,"Đế quốc, thực dân và tay sai của chúng cùng với nghè o nàn, giốt nát, lạc hậu và chủ nghĩa cá nhân dưới mọi hình thức",
Chương 2,Nội dung cơ bản trong con đường cứu nước của Hồ Chí Min h là:,Độc lập dân tộc gắn liến với chủ nghĩa xã hội,Giành chính quyền về tay nhân dân,Giải phóng con người,Thành lập Đảng Cộng sản Việt Nam,
Chương 2,"Trong Lời kêu gọi toàn quốc kháng chiến, Hồ Chí Minh xác định: “Chúng ta thà hy sinh tấ t cả, chứ nhất định […..........], nhất định không chịu làm nô lệ”.",Không chịu đầ u hàn g,Không chịu làm nô lệ,Không chịu mất nước,Phải kháng chiến,
Chương 2,Một trong những nội dung cơ bản của Bản Yêu sách gồm tám điểm của Nguyễn Ái Quốc gửi tới Hội nghị Véc xay (Pháp) là:,Đòi quyền tự trị của dân tộc,Đòi quyền giải phóng dân tộc,Đòi quyền độc lập dân tộc,"Đòi quyền tự do, dân chủ tối thiểu cho nhân d ân",
Chương 2,"Hồ Chí Minh nói: “Tôi chỉ có một sự ham muố n, ham muốn tột bậc, là làm sao cho nước ta được hoàn toà n độc lập, dân ta hoàn toàn được tự do, đồng bào ai cũng có cơm ăn, áo mặc, ai cũng đư ợc học hành” vào ngày tháng năm nào?",21/1/1946,19/5/1960,19/5/1954,19/5/1969,
Chương 2,Một trong những nội dung cơ bản của Bản Yêu sách gồm tám điểm của Nguyễn Ái Quốc gửi tới Hội nghị Véc xay (Pháp) là:,Đòi quyền tự trị của dân tộc,Đòi quyền giải phóng dân tộc,Đòi quyền độc lập dân tộc,Đòi quyền bình đẳng pháp lý cho nhân dâ n,
Chương 2,"Khi nghiên cứu về Cách mạng tư sản Mỹ (1776) và cách mạng tư sản Pháp (1789), Hồ Chí Minh xác định đó là nhữ ng cuộc cách mạng như thế nào?",Chưa trọn vẹn,Không thành công,Thắng lợi,Không đến nơi,
Chương 2,"""Dù phải đốt cháy cả dãy Trừờng Sơn cũng phải giành cho được độc lập"" câu nói đó của Hồ Chí Minh vào th ời gian nào?",Tháng 5-19 41,Tháng 9-1945,Tháng 8-19 45,Tháng 12-19 46,
Chương 2,"Đại hội nào của Đảng khẳng định: “Đảng lấy chủ nghĩa Mác – Lênin, tư tưởng Hồ Chí Minh làm nền tảng tư tư ởng và kim chỉ nam cho hành động ”?",Đại hội VII (1991),Đại hội VIII (1996),Đại hội IX (2001),Đại hội X (2006),
Chương 2,"Chủ tịch Hồ Chí Minh ra Lời kêu gọi toàn quốc k háng chiến “Thà hy sinh tất cả chứ nhất định khô ng chịu mất nước, không chịu làm nô lệ” vào thời điểm nào?",Đêm ngày 18/9/1946,Ngày 20/12/1946,Đêm ngày 19/12/1946,Ngày 25/11/1946,
Chương 2,Hồ Chí Minh là người đấu trạnh đòi quyền độc lập cho:,Cả thế giới,Dân tộc Việt Nam và tất cả các dân tộc bị áp bức trên thế giới,Dân tộc Việt Nam,Các dân tộc thuộc địa ở phương Đông,
Chương 2,Hồ Chí Minh khẳng định chủ nghĩa dân tộc là một động lực lớn ở các nước đang đấu tranh giành độc lậ p dân tộc. Đó là chủ nghĩa dân tộc:,Chân chính,Trong sáng,Sô vanh nước lớn,Hẹp hòi,
Chương 2,Chủ tịch Hồ Chí Minh ra lời kêu gọi toàn quốc kháng ch iến vào thời điểm nào?,Đêm ngày 18/9/1946,Đêm ngày 19/12/1946,Ngày 20/12/1946,Đêm ngày 21/12/1946,
Chương 2,Hồ Chí Minh bàn về vấn đề dân tộc:,Phong kiến,Độc lập,Tư sản .,Thuộc địa,
Chương 2,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc muốn thắng lợi phải:",Có tiềm lực mạnh,Có tổ chức đoàn thể lãnh đạo,Có một cá nhân xuất sắc lãnh đạo,Có Đảng của giai cấp công nhân lãnh đạo,
Chương 2,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc muốn giành được thắng lợi cần phải:",Tiến hành chủ động và sáng tạo,Dựa vào sự thắng lợi của cách mạng vô sản ở chính quốc,Dựa vào sự thắng lợi của cách mạng ở các nước thuộc địa khác,Dựa vào sự giúp đỡ của các nước xã hội chủ nghĩa,
Chương 2,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc muốn giành được thắng lợi cần phải:",Thực hiện bằng con đường bạo lực,"Thực hiện bằng con đường bạo lực, kết hợp lực lượ ng chính trị của quần chúng với lực lượng vũ trang nhân dân",Kết hợp lực lượng chính trị của quần chúng với lực lượng vũ trang nhân dân,Dựa vào sự thắng lợi của cách mạng vô sản ở chính quốc,
Chương 2,Luận điểm ”Công cuộc giải phóng anh em chỉ có thể thực hiện bằng sự nổ lực của bản thân anh em” là của ai?,Các Mác,Ănghen,Lênin,Hồ Chí Minh,
Chương 2,"Luận điểm ""Chủ nghĩa tư bản là một con đĩa có một cái vòi bá m vào giai cấp vô sản ở chính quốc và một cái vòi bá m vào giai cấp vô sản ở các thuộc địa. Nếu muốn giết con vật ấy, người ta phải đồng t hời cắt cả hai vòi” của Hồ Chí Minh được trích từ tác p hẩm nào?",Bản Án Chế độ thực dân Pháp,Báo Người Cùng khổ,Đường Cách mệnh,Tuyên ngôn độc lập,
Chương 2,Luận điểm ”Chủ nghĩa dân tộc là một động lực lớn của đất nước” của Hồ Chí Minh được trích từ tác p hẩm nào?,"Báo cáo Bắc kỳ, Trung Kỳ và Nam Kỳ",Báo Người Cùng khổ,Đường Cách mệnh,Tuyên ngôn độc lập,
Chương 2,"“Công nông là gốc của cách mệnh, còn học trò, nhà buôn nhỏ, đ iền chủ nhỏ là bầu bạn cách mệnh của công nông” đư ợc Nguyễn Ái Quốc đề cập đến điều gì?",Phương pháp cách mạng,Lực lượng cách mạng,Nhiệm vụ của cách mạng,Mục tiêu của cách mạng,
Chương 2,Cuốn “Đường Cách mệnh” tập hợp các bài giảng của Nguyễn Ái Quốc tại các khoá huấn luyện chính trị đư ợc xuất bản tại đâu?,Pháp,Liên-xô,Việt Nam,Trung Quốc,
Chương 2,"Theo Hồ Chí Minh độc lập, tự do là:",Quyền thiêng liêng của tất cả các dân tộc,Quyền bất khả xâm phạm của tất cả các dân tộc,Quyền tự quyết dân tộc,Quyền thiêng liêng và bất khả xâm phạm của tất cả các dân tộc,
Chương 2,"Theo Hồ Chí Minh độc lập, tự do quyền thiêng liêng và bất khả xâm phạm của tất cả các dân tộc vào thời gian nào?",Trong Cách mạng thánh Tám năm 1945,Trong kháng chiến chống Mỹ,Trong Kháng chiến chống Pháp,"Cả a, b và c đều đúng",
